id,time,Valence,Arousal,Dominance,emotion,Found Words,Sadness,Joy,Trust,Fear,Surprise,Anticipation,Anger,Disgust
0,2022-11-09T05:16:44.000Z,6.63,4.86,5.73,Joy,"['art', 'run']",0.02,0.74,0.02,0.02,0.02,0.02,0.02,0.02
1,2022-10-29T21:49:42.000Z,4.78,4.44,5.34,Fear,"['slap', 'whole', 'stadium']",0.05,0.05,0.05,0.53,0.05,0.05,0.05,0.05
2,2022-10-25T07:25:19.000Z,5.74375,3.71375,5.99375,Joy,"['inning', 'life', 'treat', 'watch', 'play', 'six', 'back', 'foot']",0.04,0.64,0.04,0.04,0.04,0.04,0.04,0.04
3,2022-10-23T19:17:53.000Z,5.933333333333334,4.1450000000000005,5.963333333333333,Joy,"['chant', 'raw', 'vision', 'scene', 'sensational', 'win']",0.03,0.66,0.03,0.03,0.03,0.03,0.03,0.03
4,2022-10-23T12:10:30.000Z,5.0,5.0,5.0,Trust,"['neg-pressure', 'pressure']",0.05,0.05,0.56,0.05,0.05,0.05,0.05,0.05
5,2022-10-23T12:06:26.000Z,5.26,3.8525,5.3825,Trust,"['king', 'back', 'take', 'bow']",0.05,0.05,0.58,0.05,0.05,0.05,0.05,0.05
6,2022-06-20T03:53:32.000Z,4.96125,4.33,5.16375,Fear,"['man', 'fault', 'come', 'burn', 'train', 'public', 'property', 'neg-go']",0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05
7,2022-06-03T15:13:53.000Z,5.7425,3.6575,6.1475,Fear,"['sorry', 'send', 'share', 'confirm']",0.04,0.04,0.04,0.64,0.04,0.04,0.04,0.04
8,2022-06-03T13:39:08.000Z,5.803333333333333,3.788333333333333,6.135,Trust,"['share', 'pickup', 'acknowledgement', 'slip', 'confirm', 'receive']",0.04,0.04,0.64,0.04,0.04,0.04,0.04,0.04
9,2022-06-03T09:48:17.000Z,5.719285714285713,4.2942857142857145,5.6742857142857135,Joy,"['receive', 'mail', 'notification', 'boat', 'courier', 'partner', 'pickup', 'product', 'neg-get', 'neg-back', 'black', 'pro', 'yellow', 'convey']",0.04,0.64,0.04,0.04,0.04,0.04,0.04,0.04
10,2022-06-02T14:04:34.000Z,5.56875,4.235,5.4025,Trust,"['tag', 'stop', 'give', 'chat', 'number', 'email', 'address', 'neg-reply']",0.04,0.04,0.62,0.04,0.04,0.04,0.04,0.04
11,2022-06-02T14:04:32.000Z,5.37,3.838,5.452000000000001,Surprise,"['invoice', 'blaze', 'yellow', 'black', 'one', 'reject', 'scam', 'reply', 'mail', 'chat', 'answer', 'query', 'call', 'pathetic', 'customer', 'service', 'try', 'sincere', 'use', 'make']",0.04,0.04,0.04,0.04,0.6,0.04,0.04,0.04
12,2022-06-02T14:04:31.000Z,5.5675,4.1505,5.562,Joy,"['purchase', 'blaze', 'yellow', 'rocker', 'pro', 'product', 'neg-two', 'neg-month', 'claim', 'warranty', 'get', 'new', 'one', 'black', 'two', 'month', 'one', 'default', 'claim', 'warranty']",0.04,0.62,0.04,0.04,0.04,0.04,0.04,0.04
13,2021-06-10T18:05:50.000Z,5.7625,3.6875,5.835,Joy,"['complete', 'web', 'security', 'academy', 'lab', 'image', 'file', 'upload']",0.04,0.64,0.04,0.04,0.04,0.04,0.04,0.04
14,2021-06-10T17:57:31.000Z,5.4662500000000005,4.01375,5.47375,Joy,"['complete', 'web', 'security', 'academy', 'lab', 'exploit', 'retrieve', 'file']",0.04,0.61,0.04,0.04,0.04,0.04,0.04,0.04
15,2021-06-10T17:25:49.000Z,5.6325,4.06375,5.7325,Fear,"['complete', 'web', 'security', 'academy', 'lab', 'exploit', 'retrieve', 'local']",0.04,0.04,0.04,0.63,0.04,0.04,0.04,0.04
16,2021-06-10T16:59:46.000Z,5.06,4.10875,5.23125,Trust,"['lab', 'blind', 'retrieve', 'error', 'message', 'web', 'security', 'academy']",0.05,0.05,0.56,0.05,0.05,0.05,0.05,0.05
17,2021-05-24T16:20:37.000Z,5.7446153846153845,3.889230769230769,5.533076923076923,Fear,"['complete', 'web', 'security', 'academy', 'lab', 'use', 'external', 'entity', 'retrieve', 'file', 'time', 'start', 'learn']",0.04,0.04,0.04,0.64,0.04,0.04,0.04,0.04
18,2021-04-24T06:20:58.000Z,6.12,4.3525,5.47,Trust,"['relationship', 'take', 'relationship', 'slow']",0.03,0.03,0.68,0.03,0.03,0.03,0.03,0.03
19,2021-04-20T09:06:53.000Z,6.08875,4.34,5.8075,Trust,"['new', 'challenge', 'one', 'find', 'win', 'swag', 'submit', 'solution']",0.03,0.03,0.68,0.03,0.03,0.03,0.03,0.03
20,2021-03-23T13:30:48.000Z,5.13,4.165,5.42125,Fear,"['complete', 'web', 'security', 'academy', 'lab', 'arbitrary', 'object', 'injection']",0.05,0.05,0.05,0.57,0.05,0.05,0.05,0.05
21,2021-03-23T13:30:42.000Z,5.13,4.165,5.42125,Fear,"['complete', 'web', 'security', 'academy', 'lab', 'arbitrary', 'object', 'injection']",0.05,0.05,0.05,0.57,0.05,0.05,0.05,0.05
22,2021-03-23T12:26:51.000Z,5.541428571428572,3.69,5.604285714285713,Fear,"['complete', 'web', 'security', 'academy', 'lab', 'serialize', 'type']",0.04,0.04,0.04,0.62,0.04,0.04,0.04,0.04
23,2021-03-23T12:26:47.000Z,4.9622222222222225,4.171111111111111,5.141111111111111,Fear,"['complete', 'web', 'security', 'academy', 'lab', 'use', 'application', 'exploit', 'insecure']",0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05
