id,time,Valence,Arousal,Dominance,emotion,Found Words,Sadness,Joy,Trust,Fear,Surprise,Anticipation,Anger,Disgust
0,2022-11-12T17:17:26.000Z,4.76,4.5,4.82,Sadness,"['miserable', 'game', 'aspect']",0.53,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2,2022-10-20T21:26:03.000Z,5.919411764705884,4.222941176470588,5.734705882352941,Joy,"['student', 'present', 'novel', 'technique', 'track', 'event', 'power', 'grid', 'paper', 'tracker', 'platform', 'event', 'analysis', 'power', 'first', 'full', 'paper']",0.03,0.66,0.03,0.03,0.03,0.03,0.03,0.03
3,2022-10-20T18:59:45.000Z,5.68625,4.11125,6.13875,Joy,"['image', 'classification', 'model', 'work', 'present', 'visual', 'approach', 'explain']",0.04,0.63,0.04,0.04,0.04,0.04,0.04,0.04
4,2022-10-18T14:03:59.000Z,6.05,3.3966666666666665,5.783333333333332,Joy,"['nice', 'person', 'conference']",0.03,0.67,0.03,0.03,0.03,0.03,0.03,0.03
5,2022-10-13T16:02:57.000Z,5.82,4.3,6.355,Fear,"['pull', 'develop']",0.04,0.04,0.04,0.65,0.04,0.04,0.04,0.04
6,2022-10-13T00:43:21.000Z,5.855,3.61,5.065,Joy,"['await', 'revival']",0.04,0.65,0.04,0.04,0.04,0.04,0.04,0.04
7,2022-09-30T19:28:56.000Z,7.135,4.785,5.915,Trust,"['go', 'live']",0.02,0.02,0.79,0.02,0.02,0.02,0.02,0.02
9,2022-08-17T17:18:51.000Z,6.19,4.41125,6.1625,Joy,"['review', 'tough', 'imagine', 'ancient', 'proposal', 'discover', 'coffee', 'would']",0.03,0.69,0.03,0.03,0.03,0.03,0.03,0.03
10,2022-08-03T16:48:13.000Z,6.165,4.60375,5.74375,Trust,"['friendly', 'reminder', 'diversity', 'scholarship', 'child', 'care', 'deadline', 'neg-need']",0.03,0.03,0.68,0.03,0.03,0.03,0.03,0.03
11,2022-07-23T00:32:33.000Z,7.525,5.01,6.0150000000000015,Surprise,"['love', 'idea']",0.01,0.01,0.01,0.01,0.84,0.01,0.01,0.01
