id,time,Valence,Arousal,Dominance,emotion,Found Words,Sadness,Joy,Trust,Fear,Surprise,Anticipation,Anger,Disgust
0,2022-11-27T05:17:50.000Z,6.072352941176471,3.9911764705882353,5.847058823529411,Joy,"['introduce', 'energy', 'drink', 'edition', 'partnership', 'can', 'make', 'recycle', 'drink', 'edition', 'ball', 'beverage', 'collect', 'amp', 'recycle', 'one', 'ad']",0.03,0.67,0.03,0.03,0.03,0.03,0.03,0.03
1,2022-11-26T04:50:28.000Z,6.985,4.265,5.7775,Joy,"['special', 'heart', 'energy', 'like', 'cricket', 'game', 'blessed', 'evening']",0.02,0.78,0.02,0.02,0.02,0.02,0.02,0.02
3,2022-11-20T09:05:38.000Z,5.467142857142856,4.742857142857143,5.194285714285714,Fear,"['world', 'neg-watch', 'neg-live', 'sure', 'video', 'game', 'inning']",0.04,0.04,0.04,0.61,0.04,0.04,0.04,0.04
5,2022-11-20T05:34:43.000Z,5.516842105263158,4.176842105263158,5.74,Joy,"['think', 'match', 'move', 'take', 'amp', 'win', 'exclusive', 'bat', 'sign', 'try', 'beat', 'filter', 'amp', 'send', 'entry', 'tag', 'friend', 'filter', 'link']",0.04,0.61,0.04,0.04,0.04,0.04,0.04,0.04
6,2022-11-16T04:59:32.000Z,6.310714285714287,4.042857142857144,5.718571428571429,Joy,"['come', 'experience', 'lifestyle', 'club', 'reward', 'great', 'way', 'indulge', 'service', 'luxury', 'come', 'join', 'club', 'ad']",0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03
7,2022-11-11T04:46:43.000Z,6.246666666666666,3.920833333333333,5.9775,Joy,"['thank', 'fan', 'turn', 'huge', 'number', 'support', 'stadium', 'feel', 'proud', 'wear', 'represent', 'country']",0.03,0.69,0.03,0.03,0.03,0.03,0.03,0.03
8,2022-11-11T04:46:42.000Z,5.793076923076924,4.094615384615385,5.406923076923077,Trust,"['leave', 'short', 'achieve', 'dream', 'disappointment', 'heart', 'take', 'back', 'memorable', 'moment', 'group', 'aim', 'get']",0.04,0.04,0.64,0.04,0.04,0.04,0.04,0.04
9,2022-11-08T07:13:59.000Z,6.645,4.45,6.695,Trust,"['enjoy', 'process']",0.02,0.02,0.74,0.02,0.02,0.02,0.02,0.02
11,2022-11-06T04:17:57.000Z,7.425,4.048333333333334,6.448333333333332,Joy,"['bless', 'receive', 'love', 'thank', 'warm', 'wish']",0.01,0.82,0.01,0.01,0.01,0.01,0.01,0.01
12,2022-11-02T12:56:45.000Z,5.273333333333333,4.69,6.04,Trust,"['character', 'amp', 'conviction']",0.04,0.04,0.59,0.04,0.04,0.04,0.04,0.04
