id,time,Valence,Arousal,Dominance,emotion,Found Words,Sadness,Joy,Trust,Fear,Surprise,Anticipation,Anger,Disgust
0,2022-08-18T18:10:35.000Z,6.503333333333333,4.37,6.82,Trust,"['super', 'quick', 'language']",0.03,0.03,0.72,0.03,0.03,0.03,0.03,0.03
1,2022-05-28T18:57:23.000Z,6.18,3.43,5.94,Surprise,['send'],0.03,0.03,0.03,0.03,0.69,0.03,0.03,0.03
2,2022-05-28T18:25:40.000Z,5.1,3.7625,5.625,Fear,"['take', 'note', 'issue', 'resolve']",0.05,0.05,0.05,0.57,0.05,0.05,0.05,0.05
3,2022-05-28T18:16:31.000Z,5.226875,4.355625,5.240625,Fear,"['passenger', 'travel', 'reservation', 'people', 'sit', 'floor', 'train', 'neg-make', 'separate', 'arrangement', 'issue', 'neg-management', 'issue', 'health', 'risk', 'elderly']",0.05,0.05,0.05,0.58,0.05,0.05,0.05,0.05
4,2022-05-23T14:22:06.000Z,5.95,3.73,6.1,Joy,"['percentage', 'relief', 'finish']",0.03,0.66,0.03,0.03,0.03,0.03,0.03,0.03
5,2022-05-04T05:14:25.000Z,5.9460000000000015,3.642,5.724,Trust,"['hear', 'thing', 'customer', 'care', 'day', 'time', 'frame', 'change', 'investigate', 'investigate']",0.03,0.03,0.66,0.03,0.03,0.03,0.03,0.03
6,2022-05-03T15:38:20.000Z,5.646842105263157,4.037368421052632,5.382631578947367,Anger,"['poor', 'service', 'package', 'travel', 'neg-get', 'neg-deliver', 'location', 'customer', 'service', 'member', 'neg-pick', 'phone', 'cut', 'call', 'middle', 'conversation', 'care', 'customer', 'respond']",0.04,0.04,0.04,0.04,0.04,0.04,0.63,0.04
7,2022-01-22T06:39:10.000Z,4.815,4.165,5.09,Trust,"['see', 'error']",0.05,0.05,0.54,0.05,0.05,0.05,0.05,0.05
8,2021-12-11T17:48:23.000Z,6.09,2.67,5.56,Trust,['one'],0.03,0.03,0.68,0.03,0.03,0.03,0.03,0.03
9,2021-11-11T04:53:35.000Z,6.55,3.38,4.67,Trust,['check'],0.02,0.02,0.73,0.02,0.02,0.02,0.02,0.02
10,2021-10-28T09:46:07.000Z,5.4753333333333325,4.147333333333333,5.624,Fear,"['time', 'use', 'stupid', 'assistant', 'get', 'issue', 'human', 'assistant', 'help', 'use', 'classic', 'customer', 'relationship', 'manager', 'ignorant']",0.04,0.04,0.04,0.61,0.04,0.04,0.04,0.04
11,2021-09-26T13:33:00.000Z,6.833333333333332,4.12,6.166666666666668,Sadness,"['see', 'live', 'grand']",0.76,0.02,0.02,0.02,0.02,0.02,0.02,0.02
12,2021-09-12T17:40:00.000Z,5.715,3.635,5.315,Joy,"['comment', 'age']",0.04,0.64,0.04,0.04,0.04,0.04,0.04,0.04
14,2021-08-08T11:06:54.000Z,5.89,3.556666666666666,6.036666666666666,Trust,"['one', 'locate', 'top']",0.04,0.04,0.65,0.04,0.04,0.04,0.04,0.04
15,2021-07-24T06:33:10.000Z,6.71,3.785,5.97,Surprise,"['first', 'one']",0.02,0.02,0.02,0.02,0.75,0.02,0.02,0.02
16,2021-07-19T13:31:04.000Z,8.0,5.36,5.92,Trust,['love'],0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0
17,2021-07-19T12:45:28.000Z,5.054545454545455,4.143636363636364,5.148181818181818,Sadness,"['lap', 'incident', 'crew', 'neg-replace', 'wing', 'strap', 'broken', 'piece', 'duct', 'tape', 'reason']",0.56,0.05,0.05,0.05,0.05,0.05,0.05,0.05
18,2021-07-18T19:53:16.000Z,5.226,4.04,5.627999999999999,Surprise,"['comment', 'section', 'toxic', 'see', 'fan']",0.05,0.05,0.05,0.05,0.58,0.05,0.05,0.05
19,2021-07-18T16:37:35.000Z,5.247142857142856,3.7342857142857135,5.7785714285714285,Anticipation,"['ham', 'argument', 'thread', 'let', 'begin', 'case', 'driver']",0.05,0.05,0.05,0.05,0.05,0.58,0.05,0.05
20,2021-07-18T16:33:10.000Z,5.383333333333334,4.3966666666666665,4.756666666666667,Joy,"['bad', 'day', 'guy']",0.04,0.6,0.04,0.04,0.04,0.04,0.04,0.04
21,2021-07-18T15:54:03.000Z,5.17909090909091,4.262727272727273,5.040909090909091,Joy,"['agree', 'race', 'expect', 'fight', 'corner', 'line', 'corner', 'go', 'difficult', 'predict', 'slow']",0.05,0.58,0.05,0.05,0.05,0.05,0.05,0.05
22,2021-07-18T14:51:08.000Z,4.7,4.0939999999999985,4.794,Surprise,"['second', 'penalty', 'serious', 'incident', 'yoke']",0.05,0.05,0.05,0.05,0.52,0.05,0.05,0.05
23,2021-07-16T16:01:52.000Z,5.153333333333333,3.1933333333333334,5.843333333333334,Trust,"['practice', 'session', 'repeat']",0.05,0.05,0.57,0.05,0.05,0.05,0.05,0.05
24,2021-07-03T18:59:32.000Z,3.95,4.55,5.47,Trust,['issue'],0.07,0.07,0.44,0.07,0.07,0.07,0.07,0.07
25,2021-06-27T19:00:09.000Z,5.488571428571428,3.83,5.38857142857143,Joy,"['plan', 'update', 'power', 'unit', 'bridge', 'gap', 'line']",0.04,0.61,0.04,0.04,0.04,0.04,0.04,0.04
26,2021-06-22T04:16:09.000Z,5.7620000000000005,3.8080000000000003,5.7360000000000015,Surprise,"['major', 'difference', 'strategic', 'approach', 'accord']",0.04,0.04,0.04,0.04,0.64,0.04,0.04,0.04
27,2021-06-19T18:33:54.000Z,5.352857142857141,3.5771428571428565,5.218571428571427,Fear,"['one', 'need', 'see', 'reaction', 'line', 'break', 'wall']",0.04,0.04,0.04,0.59,0.04,0.04,0.04,0.04
